"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"FI","T","Y73","2011","43615","",""
"FI","T","Y74","2011","40571","",""
"FI","T","Y75","2011","39824","",""
"FI","T","Y76","2011","37066","",""
"FI","T","Y77","2011","34069","",""
"FI","T","Y78","2011","34640","",""
"FI","T","Y79","2011","34038","",""
"FI","T","Y8","2011","56819","",""
"FI","T","Y80","2011","33323","",""
"FI","T","Y81","2011","31017","",""
"FI","T","Y82","2011","28646","",""
"FI","T","Y83","2011","25537","",""
"FI","T","Y84","2011","23229","",""
"FI","T","Y85","2011","21187","",""
"FI","T","Y86","2011","18044","",""
"FI","T","Y87","2011","16082","",""
"FI","T","Y88","2011","13179","",""
"FI","T","Y89","2011","11365","",""
"FI","T","Y9","2011","57199","",""
"FI","T","Y90","2011","9413","",""
"FI","T","Y91","2011","5778","",""
"FI","T","Y92","2011","5268","",""
"FI","T","Y93","2011","4127","",""
"FI","T","Y94","2011","2973","",""
"FI","T","Y95","2011","2241","",""
"FI","T","Y96","2011","1622","",""
"FI","T","Y97","2011","1069","",""
"FI","T","Y98","2011","717","",""
"FI","T","Y99","2011","473","",""
"FI","T","Y_GE100","2011","622","",""
"FI","T","Y_LT1","2011","61126","",""
"FR","T","Y1","2011","797639","",""
"FR","T","Y10","2011","807669","",""
"FR","T","Y11","2011","803153","",""
"FR","T","Y12","2011","796250","",""
"FR","T","Y13","2011","786428","",""
"FR","T","Y14","2011","781774","",""
"FR","T","Y15","2011","784166","",""
"FR","T","Y16","2011","788870","",""
"FR","T","Y17","2011","798317","",""
"FR","T","Y18","2011","830831","",""
"FR","T","Y19","2011","827571","",""
"FR","T","Y2","2011","803843","",""
"FR","T","Y20","2011","814460","",""
"FR","T","Y21","2011","806085","",""
